,MHdays,Discrim2,Insecurity2,EthRace5_2022,BIPOCAI,Gender3,Gender2,TransGender
273,3,0,0,5,white,1,MaleFemale,0
274,2,0,2,5,white,1,MaleFemale,0
275,1,,2,3,BIPOC/AI,1,MaleFemale,0
276,1,0,1,5,white,2,MaleFemale,0
277,1,0,2,5,white,2,MaleFemale,0
278,2,0,3,5,white,2,MaleFemale,0
279,12,,1,5,white,2,MaleFemale,0
280,3,0,2,5,white,2,MaleFemale,0
281,2,0,7,,BIPOC/AI,1,MaleFemale,0
282,5,,2,5,white,2,MaleFemale,0
283,2,,1,2,BIPOC/AI,1,MaleFemale,0
284,3,,1,5,white,1,MaleFemale,0
285,2,,3,5,white,2,MaleFemale,0
286,5,0,1,5,white,2,MaleFemale,0
287,5,0,,5,white,2,MaleFemale,0
288,2,0,2,5,white,1,MaleFemale,0
289,3,,3,5,white,2,MaleFemale,0
290,12,,7,5,white,1,MaleFemale,0
291,5,0,4,5,white,1,MaleFemale,0
292,6,0,6,5,white,1,MaleFemale,0
293,2,,3,5,white,1,MaleFemale,0
294,5,0,1,5,white,1,MaleFemale,0
295,24,0,0,5,white,1,MaleFemale,0
296,1,,5,5,white,1,MaleFemale,0
297,5,,0,5,white,2,MaleFemale,0
298,30,1,8,5,white,2,MaleFemale,0
299,10,0,2,5,white,1,MaleFemale,0
300,8,0,3,5,white,2,MaleFemale,0
301,20,,3,5,white,1,MaleFemale,0
302,2,,2,5,white,2,MaleFemale,0
303,10,0,1,5,white,1,MaleFemale,0
304,2,0,0,5,white,2,MaleFemale,0
305,5,0,0,5,white,2,MaleFemale,0
306,8,0,2,5,white,2,MaleFemale,0
307,10,,1,3,BIPOC/AI,2,MaleFemale,0
308,3,0,1,5,white,1,MaleFemale,0
309,2,0,3,3,BIPOC/AI,2,MaleFemale,0
310,2,0,1,5,white,1,MaleFemale,0
311,4,,1,5,white,2,MaleFemale,0
312,5,0,5,5,white,2,MaleFemale,0
313,5,0,1,5,white,2,MaleFemale,0
314,2,0,2,5,white,2,MaleFemale,0
315,10,0,1,5,white,2,MaleFemale,0
316,25,0,11,5,white,2,MaleFemale,0
317,20,,0,5,white,1,MaleFemale,0
318,20,,5,5,white,2,MaleFemale,0
319,3,,3,5,white,2,MaleFemale,0
320,10,0,4,5,white,2,MaleFemale,0
321,10,0,3,1,BIPOC/AI,2,MaleFemale,0
322,1,,8,5,white,1,MaleFemale,0
323,5,0,11,5,white,1,MaleFemale,0
324,9,0,1,5,white,2,MaleFemale,0
325,3,0,5,5,white,2,MaleFemale,0
326,4,,1,2,BIPOC/AI,2,MaleFemale,0
327,1,0,2,5,white,1,MaleFemale,0
328,20,,1,5,white,2,MaleFemale,0
329,4,0,4,5,white,1,MaleFemale,0
330,1,0,1,5,white,1,MaleFemale,0
331,1,,2,5,white,1,MaleFemale,0
332,3,,2,5,white,2,MaleFemale,0
333,2,,3,5,white,2,MaleFemale,0
334,4,0,2,5,white,2,MaleFemale,0
335,2,,2,5,white,2,MaleFemale,0
336,2,,2,5,white,1,MaleFemale,0
337,30,,11,5,white,1,MaleFemale,0
338,12,0,1,5,white,2,MaleFemale,0
339,3,1,2,5,white,2,MaleFemale,0
340,15,0,4,5,white,2,MaleFemale,0
341,15,,4,5,white,2,MaleFemale,0
342,2,0,4,5,white,2,MaleFemale,0
343,10,,0,5,white,2,MaleFemale,0
344,4,0,3,5,white,1,MaleFemale,0
345,9,,0,5,white,2,MaleFemale,0
346,2,,1,5,white,1,MaleFemale,0
347,5,0,1,5,white,2,MaleFemale,0
348,15,,2,5,white,2,MaleFemale,0
349,7,0,1,5,white,1,MaleFemale,0
350,10,0,2,5,white,2,MaleFemale,0
351,5,,13,5,white,2,MaleFemale,0
352,30,,1,5,white,2,MaleFemale,0
353,10,0,2,5,white,2,MaleFemale,0
354,5,,2,5,white,2,MaleFemale,0
355,3,,2,5,white,1,MaleFemale,0
356,10,0,4,,BIPOC/AI,2,MaleFemale,0
357,10,0,5,5,white,1,MaleFemale,0
358,2,0,0,5,white,1,MaleFemale,0
359,1,,3,5,white,1,MaleFemale,0
360,5,,3,5,white,2,MaleFemale,0
361,1,,1,5,white,2,MaleFemale,0
362,7,0,3,3,BIPOC/AI,2,MaleFemale,0
363,15,,5,2,BIPOC/AI,2,MaleFemale,0
364,21,0,6,5,white,2,MaleFemale,0
365,3,,4,5,white,2,MaleFemale,0
366,1,0,0,5,white,1,MaleFemale,0
367,3,0,3,5,white,2,MaleFemale,0
368,10,0,3,,BIPOC/AI,1,MaleFemale,0
369,10,0,1,5,white,2,MaleFemale,0
370,10,0,2,5,white,2,MaleFemale,0
371,5,,1,4,BIPOC/AI,1,MaleFemale,0
372,2,,3,5,white,2,MaleFemale,0
373,3,0,1,5,white,2,MaleFemale,0
374,20,0,2,5,white,2,MaleFemale,0
375,1,0,3,5,white,2,MaleFemale,0
376,1,0,5,5,white,1,MaleFemale,0
377,4,0,4,5,white,2,MaleFemale,0
378,10,0,1,5,white,2,MaleFemale,0
379,2,0,2,5,white,2,MaleFemale,0
380,5,0,1,5,white,2,MaleFemale,0
381,2,0,3,3,BIPOC/AI,1,MaleFemale,0
382,10,,5,5,white,2,MaleFemale,0
383,15,0,3,5,white,2,MaleFemale,0
384,30,0,3,5,white,1,MaleFemale,0
385,1,0,1,5,white,1,MaleFemale,0
386,5,,5,5,white,2,MaleFemale,0
387,5,0,0,5,white,2,MaleFemale,0
388,5,0,1,5,white,1,MaleFemale,0
389,3,0,1,5,white,2,MaleFemale,0
390,3,0,2,5,white,2,MaleFemale,0
391,2,0,2,5,white,2,MaleFemale,0
392,2,,1,5,white,2,MaleFemale,0
393,7,0,1,5,white,2,MaleFemale,0
394,3,0,1,5,white,2,MaleFemale,0
395,3,,2,5,white,2,MaleFemale,0
396,3,,3,5,white,2,MaleFemale,0
397,2,0,3,5,white,2,MaleFemale,0
398,4,,3,5,white,2,MaleFemale,0
399,15,0,3,5,white,2,MaleFemale,0
400,4,,3,5,white,2,MaleFemale,0
401,10,0,0,5,white,2,MaleFemale,0
402,30,,6,5,white,2,MaleFemale,0
403,15,0,3,5,white,2,MaleFemale,0
404,20,,6,5,white,2,MaleFemale,0
405,5,0,9,5,white,2,MaleFemale,0
406,20,0,2,5,white,1,MaleFemale,0
407,5,,0,,BIPOC/AI,2,MaleFemale,0
408,10,,4,5,white,1,MaleFemale,0
409,30,,5,5,white,1,MaleFemale,0
410,1,,0,5,white,1,MaleFemale,0
411,10,0,3,5,white,2,MaleFemale,0
412,3,0,1,5,white,1,MaleFemale,0
413,2,0,2,5,white,2,MaleFemale,0
414,20,,3,5,white,2,MaleFemale,0
415,10,0,1,3,BIPOC/AI,2,MaleFemale,0
416,15,0,10,5,white,2,MaleFemale,0
417,2,0,0,5,white,1,MaleFemale,0
418,4,0,3,5,white,2,MaleFemale,0
419,3,0,2,5,white,2,MaleFemale,0
420,4,1,1,5,white,2,MaleFemale,0
421,10,0,7,5,white,1,MaleFemale,0
422,20,,4,5,white,2,MaleFemale,0
423,1.5,,1,5,white,2,MaleFemale,0
424,20,,3,3,BIPOC/AI,1,MaleFemale,0
425,1,0,1,5,white,2,MaleFemale,0
426,2,0,1,5,white,2,MaleFemale,0
427,2,,2,5,white,1,MaleFemale,0
428,3,,2,5,white,2,MaleFemale,0
429,20,0,5,5,white,2,MaleFemale,0
430,2,,2,5,white,2,MaleFemale,0
431,10,0,1,5,white,1,MaleFemale,0
432,3,,2,,BIPOC/AI,1,MaleFemale,0
433,17,0,,5,white,1,MaleFemale,0
434,3,0,1,,BIPOC/AI,2,MaleFemale,0
435,5,0,1,5,white,1,MaleFemale,0
436,3,,2,5,white,2,MaleFemale,0
437,5,0,3,,BIPOC/AI,2,MaleFemale,0
438,1,,2,5,white,1,MaleFemale,0
440,2,,2,5,white,2,MaleFemale,0
441,30,,5,5,white,2,MaleFemale,0
442,5,0,2,5,white,2,MaleFemale,0
443,5,,2,5,white,2,MaleFemale,0
444,4,0,2,,BIPOC/AI,2,MaleFemale,0
445,1,0,2,5,white,1,MaleFemale,0
446,2,,2,5,white,1,MaleFemale,0
447,5,0,2,5,white,1,MaleFemale,0
448,2,,2,5,white,2,MaleFemale,0
449,5,0,1,5,white,2,MaleFemale,0
450,3,0,0,2,BIPOC/AI,2,MaleFemale,0
451,2,0,2,5,white,1,MaleFemale,0
452,7,,3,5,white,2,MaleFemale,0
453,28,,2,5,white,2,MaleFemale,0
454,4,0,4,5,white,2,MaleFemale,0
455,10,0,5,1,BIPOC/AI,1,MaleFemale,0
456,15,0,2,5,white,1,MaleFemale,0
457,5,,4,5,white,1,MaleFemale,0
458,2,0,2,,BIPOC/AI,2,MaleFemale,0
459,2,,5,,BIPOC/AI,1,MaleFemale,0
460,1,,2,2,BIPOC/AI,2,MaleFemale,0
461,2,0,2,5,white,2,MaleFemale,0
462,3,0,1,5,white,1,MaleFemale,0
463,4,0,4,5,white,2,MaleFemale,0
464,8.5,,3,5,white,2,MaleFemale,0
465,2,1,2,3,BIPOC/AI,1,MaleFemale,0
466,7,0,4,5,white,2,MaleFemale,0
467,2,0,3,5,white,2,MaleFemale,0
468,1,,1,5,white,2,MaleFemale,0
469,4,0,8,5,white,2,MaleFemale,0
470,12,0,4,5,white,1,MaleFemale,0
471,30,0,3,,BIPOC/AI,,MaleFemale,0
472,4,,0,5,white,2,MaleFemale,0
473,15,0,3,5,white,3,AgenderNonbinaryGenderQueer,0
474,5,0,0,5,white,2,MaleFemale,0
475,30,,0,5,white,1,MaleFemale,0
476,20,0,2,5,white,2,MaleFemale,0
477,11,0,2,5,white,2,MaleFemale,0
478,3,0,2,5,white,2,MaleFemale,0
479,1,,4,5,white,1,MaleFemale,0
480,2,0,4,5,white,2,MaleFemale,0
481,5,0,3,5,white,2,MaleFemale,0
482,5,0,2,5,white,2,MaleFemale,0
483,4,,2,5,white,2,MaleFemale,0
484,10,0,0,5,white,2,MaleFemale,0
485,4,0,2,5,white,2,MaleFemale,0
486,1.5,0,4,5,white,2,MaleFemale,0
487,5,,1,5,white,2,MaleFemale,0
488,2,1,2,5,white,1,MaleFemale,0
489,10,0,1,5,white,2,MaleFemale,0
490,15,0,1,5,white,1,MaleFemale,0
491,3,0,0,5,white,2,MaleFemale,0
492,29,1,15,5,white,1,MaleFemale,0
493,10,0,4,5,white,2,MaleFemale,0
494,2,0,4,5,white,2,MaleFemale,0
495,5,0,1,5,white,2,MaleFemale,0
496,1,0,3,5,white,2,MaleFemale,0
497,2,,1,5,white,2,MaleFemale,0
498,4,0,2,5,white,2,MaleFemale,0
499,30,,2,,BIPOC/AI,2,MaleFemale,0
500,17,,4,5,white,2,MaleFemale,0
501,7,,0,5,white,2,MaleFemale,0
502,1,,,5,white,1,MaleFemale,0
503,1,0,3,5,white,2,MaleFemale,0
504,8,1,11,4,BIPOC/AI,1,MaleFemale,0
505,5,,6,5,white,2,MaleFemale,0
506,1,0,2,5,white,2,MaleFemale,0
507,4,0,4,5,white,2,MaleFemale,0
508,3,0,2,5,white,2,MaleFemale,0
509,15,0,7,5,white,1,MaleFemale,0
510,6,,2,5,white,2,MaleFemale,0
511,10,,5,5,white,2,MaleFemale,0
512,25,,3,5,white,1,MaleFemale,0
513,10,0,2,5,white,1,MaleFemale,0
514,2,,3,5,white,2,MaleFemale,0
515,30,,1,5,white,2,MaleFemale,0
516,10,,2,5,white,1,MaleFemale,0
517,2,0,2,5,white,1,MaleFemale,0
518,2,0,2,5,white,2,MaleFemale,0
519,30,,5,5,white,2,MaleFemale,0
520,1,,2,5,white,2,MaleFemale,0
521,5,0,3,2,BIPOC/AI,2,MaleFemale,0
522,1,0,2,5,white,2,MaleFemale,0
523,3,,4,5,white,2,MaleFemale,0
524,3,0,5,5,white,1,MaleFemale,0
525,10,,5,5,white,1,MaleFemale,0
526,1,,5,5,white,2,MaleFemale,0
527,4,0,4,5,white,2,MaleFemale,0
528,15,,3,,BIPOC/AI,1,MaleFemale,0
529,10,0,2,5,white,2,MaleFemale,0
530,1,,2,5,white,1,MaleFemale,0
531,6,0,4,5,white,2,MaleFemale,0
532,1,0,3,5,white,2,MaleFemale,0
533,5,0,2,5,white,2,MaleFemale,0
534,7,0,5,5,white,2,MaleFemale,0
535,20,0,4,5,white,2,MaleFemale,0
536,4,,1,5,white,2,MaleFemale,0
537,1,0,1,5,white,2,MaleFemale,0
538,2,0,3,5,white,2,MaleFemale,0
539,10,0,2,5,white,1,MaleFemale,0
540,3,0,4,5,white,1,MaleFemale,0
541,5,,1,5,white,2,MaleFemale,0
542,15,0,10,,BIPOC/AI,1,MaleFemale,0
543,10,0,9,5,white,2,MaleFemale,0
544,4,0,2,5,white,2,MaleFemale,0
545,10,0,2,5,white,2,MaleFemale,0
546,1,0,5,,BIPOC/AI,2,MaleFemale,0
547,30,,3,4,BIPOC/AI,2,MaleFemale,0
548,30,0,4,5,white,1,MaleFemale,0
549,2,0,3,,BIPOC/AI,2,MaleFemale,0
550,2,0,4,5,white,2,MaleFemale,0
551,4,1,2,,BIPOC/AI,2,MaleFemale,0
552,2,,2,5,white,2,MaleFemale,0
553,10,0,4,5,white,2,MaleFemale,0
554,1,0,3,5,white,2,MaleFemale,0
555,3,0,5,5,white,2,MaleFemale,0
556,30,0,4,,BIPOC/AI,2,MaleFemale,0
557,10,0,4,5,white,2,MaleFemale,0
558,10,,2,5,white,2,MaleFemale,0
559,2,0,0,5,white,2,MaleFemale,0
560,5,,1,4,BIPOC/AI,1,MaleFemale,0
561,5,0,2,5,white,2,MaleFemale,0
562,2.5,,5,5,white,2,MaleFemale,0
563,2,,2,5,white,2,MaleFemale,0
564,15,,,,BIPOC/AI,2,MaleFemale,0
565,1,0,2,5,white,2,MaleFemale,0
566,4,,3,5,white,2,MaleFemale,0
567,2,,2,5,white,1,MaleFemale,0
568,3,,2,,BIPOC/AI,1,MaleFemale,0
570,1,0,0,5,white,2,MaleFemale,0
571,2,0,2,5,white,1,MaleFemale,0
572,4,,3,5,white,2,MaleFemale,0
573,2,,,5,white,2,MaleFemale,0
574,2,,0,5,white,2,MaleFemale,0
575,5,,1,5,white,1,MaleFemale,0
576,1,0,1,5,white,2,MaleFemale,0
577,2,0,2,5,white,2,MaleFemale,0
578,30,1,9,3,BIPOC/AI,2,MaleFemale,0
579,3,0,0,5,white,2,MaleFemale,0
580,15,,4,5,white,2,MaleFemale,0
581,1,0,1,5,white,2,MaleFemale,0
582,3,0,0,5,white,1,MaleFemale,0
583,10,0,2,5,white,2,MaleFemale,0
584,3,,0,5,white,1,MaleFemale,0
585,15,1,2,,BIPOC/AI,2,MaleFemale,0
586,5,,1,5,white,1,MaleFemale,0
587,2,0,0,5,white,2,MaleFemale,0
588,5,,2,5,white,2,MaleFemale,0
