 ,totalmomsthisphase,died7,numdied,morbid,duration,csection,complicbefore,anemia,pairname,arm,referredout,literacy,highincome,factype,distance,numstaff,supplies,meds,baage,balasttrained,balasttrainedln,baexperience,baexperienceln,batrained,batypes,bascheduledbin,baobc,nurseonlybin,anmonlybin,anydocbin,scheduled,obc,meangravidaln,complicbeforeln,anemialn,csectionln,age35plus,ageunder25,died0sbrbaseline,meangravida,lucknow,anymatmort
560,1604,0.045934202,45.93420236,0.150343107,242.8679115,0,0.049875312,0.001870324,P3-P17,0,0.097273854,0.479,0,1,25,3,18.6,1.4,30,,,7.5,2.014903021,0,3,1,0.6,1,0,1,0.097256858,0.613466334,1.035805516,-2.998229154,-6.2816435,-7.60090246,0.029320025,0.246412976,0.032104637,2.817374762,0,1
561,1300,0.054919908,54.91990847,0.114703618,248.1840336,0,0.063846154,0.013076923,P3-P4,1,0.102974828,0.479,0,1,22,4,19.8,2,39.5,5,1.609437912,12.25,2.505525937,0.5,2,0,0.5,1,0,1,0.228461538,0.593076923,1.125969618,-2.751278936,-4.336906199,-7.60090246,0.1,0.232307692,0.032208589,3.083204931,0,1
573,1479,0.044265594,44.26559356,0.087457627,162.1689751,0.00275989,0.125253893,0.074475288,P3-P9,0,0.285714286,0.587,1,3,24,4,23.4,3,35.5,7,1.945910149,8.5,2.140066163,0.25,1,1,0.5,0,0,1,0.246788371,0.511156187,0.942362972,-2.077412457,-2.597287917,-5.892564598,0.019647696,0.386856369,0.015637217,2.566037736,0,1
574,876,0.0789177,78.91770011,0.082285714,138.9524648,0,0.081339713,0.142344498,P3-P18,1,0.343855693,0.587,1,2,35,7,16.8,2.8,43.66666667,10.33333333,2.335374916,16,2.772588722,1,1,1,0.666666667,1,0,0,0.178082192,0.700913242,1.136824138,-2.509120908,-1.94950512,-7.60090246,0.091428571,0.252571429,0.027923211,3.116853933,0,1
600,1356,0.053558327,53.55832722,0.105535055,132.7257552,0,0.01402214,0.00295203,P3-P10,0,0.030791789,0.612,1,1,27,3,21.6,2.4,46.14285714,3,1.098612289,14.71428571,2.688818839,0.428571429,2,1,0,0,0,0,0.235988201,0.418141593,0.868746973,-4.267117754,-5.825262372,-7.60090246,0.011808118,0.421402214,0.025995575,2.383921863,0,1
601,1161,0.02058319,20.58319039,0.079242033,163.6875,0,0.002671416,0,P3-P19,0,0.040308748,0.612,1,2,25,6,23.2,2.4,56.75,,,27.5,3.314186005,0,2,0,0.25,0,0,1,0.359173127,0.460809647,0.855862426,-5.925146666,-7.60090246,-7.60090246,0.011197244,0.348837209,0.009493671,2.353403141,0,0
603,1403,0.031937544,31.93754436,0.090714286,148.7060185,0,0.036849711,0.037572254,P3-P21,0,0.169623847,0.612,1,2,16,4,22.6,2.2,38,6,1.791759469,12,2.48490665,0.571428571,2,1,0.285714286,1,0,0,0.294369209,0.45188881,0.872080229,-3.300907503,-3.281489418,-7.60090246,0.003062787,0.442572741,0.017486783,2.391881343,0,1
604,1480,0.037583893,37.58389262,0.078378378,121.5310345,0.008849558,0.014189189,0.327027027,P3-P26,1,0.012080537,0.612,1,2,25,4,20,1.6,36.22222222,6.5,1.871802177,9.555555556,2.257122719,0.222222222,2,1,0.222222222,1,0,1,0.327702703,0.413513514,0.825869873,-4.255274929,-1.11771246,-4.727387819,0.00811908,0.50270636,0.020666667,2.283866576,0,0
605,860,0.034802784,34.80278422,0.097674419,201.7312207,0.00117096,0.019790454,0.006984866,P3-P11,1,0.088167053,0.612,1,3,40,3,23,3,34.57142857,4,1.386294361,8.142857143,2.097141119,0.142857143,1,1,0.428571429,1,0,1,0.26744186,0.470930233,0.90875064,-3.922555578,-4.964009453,-6.749931194,0.01744186,0.339534884,0.018743109,2.481220657,0,0
606,1254,0.03343949,33.43949045,0.109250399,156.4627249,0,0.024720893,0.011961722,P3-P10,1,0.052547771,0.612,1,1,32,3,21.8,2.4,31.66666667,1,0,8.333333333,2.120263536,0.166666667,2,1,0.333333333,1,0,0,0.26953748,0.38676236,0.839750655,-3.700106517,-4.42604352,-7.60090246,0.005799503,0.48053024,0.013556619,2.315789474,0,0
607,1487,0.030140656,30.1406564,0.101752022,208.2682759,0,0.012777404,0.00403497,P3-P22,0,0.036168788,0.612,1,1,27,5,22.4,2.6,36.4,3,1.098612289,8,2.079441542,0.2,2,0,0.4,0,0,0,0.196368527,0.54270343,0.635988767,-4.360076967,-5.512756477,-7.60090246,0.015467384,0.557498319,0.013850416,1.888888889,0,1
610,1276,0.041245136,41.24513619,0.119309262,229.5633188,0.000826446,0.0264,0.0136,P3-P29,1,0.102723735,0.557,1,2,25,5,21.2,2.6,39,1.25,0.223143551,10.16666667,2.319114395,0.666666667,1,0,0,1,0,0,0.224137931,0.525862069,0.899885716,-3.634391269,-4.297685486,-7.098375639,0.019592476,0.420846395,,2.459322034,0,1
611,1209,0.040462428,40.46242775,0.106876553,190.8874887,0,0.044701987,0.008278146,P3-P12,1,0.084158416,0.557,1,2,15,4,21.2,2.2,45.33333333,15,2.708050201,18.33333333,2.908720897,0.166666667,2,1,0.166666667,1,0,0,0.273779983,0.381306865,0.846299233,-3.107737332,-4.794136286,-7.60090246,0.014888337,0.443341605,0.036107711,2.331004367,0,1
612,1694,0.041447752,41.44775248,0.083234947,220.1623985,0,0.06261075,0.044300059,P3-P13,0,0.099824869,0.557,1,3,25,3,22,2.2,31.57142857,2,0.693147181,4.571428571,1.519825754,0.142857143,1,1,0.428571429,1,0,1,0.244391972,0.451593861,0.773290174,-2.770818288,-3.116769269,-7.60090246,0.020070838,0.420306966,0.015597148,2.166883963,0,0
630,1523,0.045484081,45.48408057,0.079448457,219.9755932,0,0.068942876,0.0558109,P3-P31,1,0.003896104,0.592,1,2,26,3,22.2,2.4,44.5,3,1.098612289,8.75,2.1690537,0.5,2,0,0.25,1,0,1,0.299409061,0.50558109,0.83244893,-2.674477003,-2.885786096,-7.60090246,0.013175231,0.350461133,0.02530541,2.298941799,0,0
631,637,0.05625,56.25,0.08044164,210.5996344,0,0.058267717,0.039370079,P3-P26,0,0.125,0.592,1,2,22,4,20,2,28.8,,,2.6,0.955511445,0,2,0,0.2,1,0,1,0.266141732,0.503937008,0.846291318,-2.842707086,-3.234749174,-7.60090246,0.011023622,0.396850394,0.027624309,2.330985915,0,1
632,1258,0.042721519,42.72151899,0.090620032,211.3668801,0,0.057233704,0.021462639,P3-P12,0,0.131329114,0.592,1,2,10,5,20.6,1.8,38.375,2.571428571,0.944461609,15.125,2.716349004,0.875,2,1,0.625,1,0,0,0.356120827,0.460254372,0.841078382,-2.860612318,-3.841441571,-7.60090246,0.003184713,0.542993631,0.009641873,2.318866253,0,0
633,1341,0.074183976,74.18397626,0.126865672,120.0584112,0.000750188,0.196122297,0.41163311,P3-P13,1,0.028189911,0.592,1,3,35,3,21.6,2.4,34,6,1.791759469,5.571428571,1.717651497,0.142857143,1,0,0.428571429,0,0,1,0.249813572,0.542878449,0.813843365,-1.629016851,-0.887622837,-7.19518732,0.016430172,0.497386109,0.041525833,2.256564141,0,1
640,1118,0.029490617,29.49061662,0.09042077,123.2039604,0,0.017953321,0.016157989,P3-P19,1,0.100089366,0.569,1,2,23,7,23.4,3.6,33.33333333,7,1.945910149,6.666666667,1.897119985,0.333333333,1,0,0.333333333,0,0,1,0.282647585,0.582289803,0.773411544,-4.019980147,-4.125340663,-7.60090246,0.010781671,0.542677448,0.0225,2.167146974,0,1
641,1533,0.037613489,37.61348898,0.111038537,155.7194149,0,0.043733681,0.009138381,P3-P29,0,0.040856031,0.569,1,2,25,5,21.6,3.4,34.2,6.666666667,1.897119985,6.2,1.824549292,0.6,1,0,0.2,1,0,1,0.296151337,0.349641226,0.851725773,-3.129636731,-4.695272021,-7.60090246,0.007175473,0.473581213,0.009180328,2.343688037,0,1
642,1083,0.033851784,33.85178408,0.079409049,138.9741131,0,0.042474608,0.012927054,P3-P22,1,0.057639524,0.569,1,1,65,4,24.4,3.8,37.16666667,3,1.098612289,14.16666667,2.650891787,0.333333333,2,0,0.666666667,0,1,0,0.24099723,0.479224377,,-3.158848851,-4.348432917,-7.60090246,0.007386888,0.409972299,0.016499705,,0,0
